title,abstract
FIDE World Chess Championship 1998,"The FIDE World Chess Championship 1998 was contested in a match between the FIDE World Champion Anatoly Karpov and the challenger Viswanathan Anand. The match took place between 2 January and 9 January 1998 in Lausanne, Switzerland."
Chess World Cup 2005,"The Chess World Cup 2005 served as a qualification tournament for the FIDE World Chess Championship 2007. It was held as a 128-player tournament, between 27 November and 17 December 2005, in Khanty-Mansiysk, Russia."
Chigorin Memorial,"The Chigorin Memorial is a chess tournament played in honour of Mikhail Chigorin (1850–1908), founder of the Soviet Chess School and one of the leading players of his day. The first and most important edition was the one played in 1909 in St. Petersburg. Later on, an international invitation Memorial tournament series was established, and mainly played in the Black Sea resort Sochi (from 1963 to 1990). Further irregular tournaments had been held in 1947, 1951, 1961, and 1972, played in diverse venues. From 1993 the venue returned to his hometown, the Memorial is now played as an Open event."
Carlos Torre Repetto Memorial,The Torre Memorial is an annual chess tournament played in honour of the chess legend Carlos Torre Repetto (1905–1978).
World Chess Championship 1935,The 1935 World Chess Championship was played between challenger Max Euwe and title-holder Alexander Alekhine. It was played in various cities and towns in the Netherlands from October 3 to December 16.
World Chess Championship 1951,"The 1951 World Chess Championship was played between Mikhail Botvinnik and David Bronstein in Moscow from March 15 to May 11, 1951. It was the first match played under the supervision of FIDE; and the first to use a qualifying system of an Interzonal and Candidates Tournament to choose a challenger - a system which stayed in place until 1993."
World Chess Championship 1954,"The 1954 World Chess Championship was played between Mikhail Botvinnik and Vasily Smyslov in Moscow from March 16 to May 13, 1954. Botvinnik retained his title."
World Chess Championship 1957,"The 1957 World Chess Championship was played between Mikhail Botvinnik and Vasily Smyslov in Moscow from March 5 to April 27, 1957. Smyslov won."
1969 in chess,Events in chess in 1969;
World Chess Championship 1958,"The 1958 World Chess Championship was played between Mikhail Botvinnik and Vasily Smyslov in Moscow from March 4 to May 9, 1958. Botvinnik won."
World Chess Championship 1960,"The 1960 World Chess Championship was played between Mikhail Botvinnik and Mikhail Tal in Moscow from March 15 to May 7, 1960. Tal won."
World Chess Championship 1961,"The 1961 World Chess Championship was played between former champion Mikhail Botvinnik and champion Mikhail Tal in Moscow from March 15""Tal Will Defend Crown in Chess; Latvian to Meet Botvinnik in Moscow on March 15 for World Championship"", New York Times, March 5, 1961 to May 13, 1961. Tal had unseated Botvinnik in the 1960 match, thus Botvinnik was entitled to this rematch the next year."
World Chess Championship 1966,"The 1966 World Chess Championship was played between Tigran Petrosian and Boris Spassky in Moscow from April 9 to June 9, 1966. Petrosian won."
World Chess Championship 1969,"The 1969 World Chess Championship was played between Tigran Petrosian and Boris Spassky in Moscow from April 14 to June 17, 1969. Spassky won."
World Chess Championship 1975,"The 1975 World Chess Championship was not played due to a dispute over the match format. Champion Bobby Fischer (United States) was to play Anatoly Karpov (Soviet Union) in Manila, commencing June 1, 1975."
World Chess Championship 1978,"The 1978 World Chess Championship was played between Anatoly Karpov and Viktor Korchnoi in Baguio City, Philippines from July 18 to October 18, 1978. Karpov won, thereby retaining the title."
World Chess Championship 1981,"The 1981 World Chess Championship was played between Anatoly Karpov and Viktor Korchnoi in Merano, Italy from October 1 to November 19, 1981.  Karpov won."
World Chess Championship 1985,thumb|upright=1.2|Kasparov and Karpov at the World Chess Championship 1985
World Chess Championship 1986,"The 1986 World Chess Championship was played between Anatoly Karpov and Garry Kasparov in London and Leningrad (Saint Petersburg) from July 28 to October 8, 1986. Kasparov won."
World Chess Championship 1987,"The 1987 World Chess Championship was played between Anatoly Karpov and Garry Kasparov in Seville from October 12 to December 19, 1987. Before the 24th game, Kasparov was down 12-11, but in the 24th game, Kasparov made a comeback by using the English Opening to win the final game to retain his title."
Paul Keres Memorial Tournament,"The Paul Keres Memorial Tournament is a chess tournament played in honour of chess grandmaster Paul Keres (1916–1975). It usually takes place in Vancouver, Canada and Tallinn, Estonia."
Ram Soffer,Ram Soffer (born 6 September 1965) is an Israeli chess grandmaster with Elo rating  2475 in 2008.
Dutch Open Computer Chess Championship,The Dutch open computer chess championship is a chess tournament for computer chess programs. It is organised yearly by the CSVN (Computer Chess Association of the Netherlands) around October or November.
Leon Tuhan-Baranowski,"Leon Tuhan-Baranowski  (22 June 1907, St Petersburg – 27 April 1954, Frankfurt) was a Polish-Belarusian chess player and composer."
Baden-Baden 1870 chess tournament,"The 1870 chess tournament in Baden-Baden can be regarded as the first strong tournament. In comparison with London 1851 chess tournament, London 1862 and Paris 1867, three main changes were made: a) first chess clocks usedhttps://web."
Adolf Stern,"Adolf Stern (25 December 1849, Grünstadt, Rhineland-Palatinate – 24 August 1907, Mannheim) was a German chess master."
Chessmaster 2000,The Chessmaster 2000 is a computer chess game  by The Software Toolworks.  It was the first in the Chessmaster series and published in 1986.
Max Blümich,"Reinhold Max Blümich (Bluemich) (3 November 1886 – 23 February 1942, Falkenberg/Elster) was a German chess master and editor."
Michel Caillaud,Michel Caillaud (born 10 April 1957) is a French chess problemist.
Marjan Kovačević,Marjan Kovačević (* 8 April 1957) is a Serbian chess problemist.
1970 in chess,Events in chess in 1970;
General Government chess tournament,"General Government chess championships (Schachmeisterschaft des Generalgouvernements) were Nazi tournaments held during World War II in occupied central Poland. Hans Frank, the Governor-General of General Government, was the patron of those tournaments because he was an avid chess player."
Heinz Nowarra,Heinz Nowarra (1897–1945?) was a German chess master.
Wrong rook pawn,"In chess endgames with a bishop, a pawn that is a  may be the wrong rook pawn.  With a single bishop, the result of a position may depend on whether or not the bishop controls the square on the chessboard on which the pawn would promote."
Watermelon Chess,Watermelon Chess is a two-player abstract strategy game from China where it is known as Xi Gua Qi.  It is also known as The Surround Game and Globe.
International Paderborn Computer Chess Championship,The International Paderborn Computer Chess Championship is an annual chess tournament for computer chess programs. It is organised yearly by the University of Paderborn.
Hans Roepstorff,"Hans RoepstorffHis surname also seen as ""Röpstorff"", and ""Ropstorff"" (1910–1945) was a German chess master."
Staunton–Morphy controversy,"The Staunton–Morphy controversy concerns the failure of negotiations in 1858 for a chess match between Howard Staunton and Paul Morphy and later interpretations of the actions of the two players. The details of the events are not universally agreed, and accounts and interpretations often show strong national bias."
Sammi Fajarowicz,Sammi Fajarowicz (5 June 1908 in Möckern/Leipzig – 4 July 1940 in Leipzig) was a German chess master.
Erich Weinitschke,"Erich Weinitschke (born 1910, date of death unknown) was a German chess master.ChessBase Spieler Datenbank - Suche"
Max Euwe Memorial Tournament,"The Max Euwe Memorial Tournament was an annual international invitation chess tournament played in honour of Max Euwe (1901–1981) from 1987 to 1996. It was played in Amsterdam, the Netherlands (with the exception of 1990 when it was played in Rotterdam)."
Bernhard Kagan,"Bernhard Kagan (15 August 1866 – 27 November 1932, Berlin) was a German chess player, writer, publisher, editor, and organizer."
Basic Chess Endings,"Basic Chess Endings (abbreviated BCE) is a book on chess endgames which was written by Grandmaster Reuben Fine and originally published on October 27, 1941. It is considered the first systematic book in English on the endgame phase of the game of chess."
1941 in chess,Events in chess in 1941
Alexander Halprin,"Alexander Halprin (21 March 1868, Saint Petersburg – 20 May 1921, Vienna) was a Russian–Austrian chess master."
David Graham Baird,"David Graham Baird (3 December 1854 in New York City – 8 October 1913 in Elizabeth, New Jersey) was an American chess master. He was the brother of John Washington Baird, who was also an American chess master."
Herbert William Trenchard,"Herbert William Trenchard (8 September 1857, Thorncombe – 15 April 1934, London) was an English chess master."
Peter Yurdansky,"Peter Konstantinovich Yurdansky (Yurdanski, Yordansky, Jordansky) (1891–1937) was a Russian chess master."
Hugo Fähndrich,Hugo Fähndrich (3 July 1851 – 3 July 1930) was an Austrian–Hungarian chess master.
Vienna 1882 chess tournament,"The second international Vienna 1882 chess tournament was one of the longest and strongest chess tournaments ever played.The British Chess Magazine, 1882, pp. 213, 261, 292 and 296. According to the unofficial Chessmetrics ratings, the tournament was (as of March 2005) the strongest tournament in history, on the basis that nine of the ten top players in the world participated, including all of the top eight.""Formulas"", Chessmetrics website"
Jacob Ascher,"Jacob Gottschalk Ascher (18 February 1841, Plymouth, England – 12 October 1912, New York City) was a British–Canadian chess master. He was the son of Isaac Gottschalk Ascher, and brother to Isidor, Albert, Hyman, and Eva."
Initiative,"Initiative in a chess position belongs to the player who can make threats that cannot be ignored, thus putting the opponent in the position of having to spend turns responding to threats rather than creating new threats. A player with the initiative will often seek to maneuver his pieces into more and more advantageous positions as he launches successive attacks."
Raphael Falk,Raphael Alexandrovich Falk (1856 – 1913) was a Russian chess master.Maestri dell' at xoomer.
Aaron Feinstein,Aaron Feinstein (fl. 1903–1910) was an Estonian chess master.
Komikan,"Komikan (from the Mapuche kom ikan ""to eat all"") is a two-player abstract strategy board game of the Mapuches (known by the Spaniards as the Araucanians) from Chile and Argentina.  The same game is also played by the Incas under the name Taptana, Komina, Comina, Cumi, Puma, or Inca Chess."
Jakub Heilpern,"Jakub Heilpern (3 February 1850 – 28 November 1910) was a Polish chess master.Bolesław Chwaściński, Jakub Heilpern, Słownik biograficzny techników polskich, zeszyt 3, Federacja Stowarzyszeń Naukowo-Technicznych, Warszawa 1993"
Józef Żabiński,Józef Żabiński (1860 – 27 December 1928) was a Polish chess master and problemist.
Aleksei Fyodorovich Goncharov,"Aleksei Fyodorovich Goncharov (; 16 January 1879, in Moscow – 23 April 1913, in Moscow) was a Russian chess master."
Vladimir Georgiev,"Vladimir Georgiev (; born 27 August 1975 in Sofia, Bulgaria) is a Bulgarian-Macedonian chess grandmaster. He became an International Master in 1995 and a Grandmaster in 2000."
1971 in chess,Events in chess in 1971;
Tilburg chess tournament,"The Tilburg chess tournament was a series of very strong chess tournaments held in Tilburg, Netherlands. It was established in 1977 and ran continuously through 1994 under the sponsorship of Interpolis, an insurance company."
Milton Hanauer,"Milton Loeb Hanauer (5 August 1908 – 16 April 1988) was a public school principal, chess master and Marshall Chess Club official.Hanauer"
List of chess traps,"Chess traps are moves which may tempt a chess opponent to play a losing move. Traps are common in all phases of the game; in the opening, some traps have occurred often enough that they have acquired names."
Olavo Yépez,"Olavo Yépez Obando (born 20 August 1937, San Gabriel, Carchi) is an Ecuadorian chess master."
